name,artist,address,sponsor,lon,lat
Donna Marie,,8172 Shore Dr.,,-76.190796,36.923748
Maid For Life,,8172 Shore Dr.,,-76.205353,36.878101
Faith,,5900 Lake Wright Dr.,,-76.206047,36.866787
1950s Fish Dish,,1309 Kempsville Rd.,,-76.29512,36.871475
By the Stars,,760 W. 22nd St.,,-76.301544,36.863968
Courtney,Georgia Mason,Colley Ave & Redgate Ave,Taylor associates,-76.292412,36.852833
Dominique,John Hickey,253 West Bute St,Equity Office Properties/Dominion Tower,-76.287613,36.843376
Low Tide,,999 Waterside Drive,,-76.294296,36.851948
USS Wisconsin,,321 W. Freemason St.,,-76.2911,36.844303
Ocean Patina,Cindy Graf,333 Waterside Drive,American Rover/Waterside Marina,-76.292931,36.844406
Scales Of Justice,,333 Waterside Drive,,-76.293686,36.846443
Karen,,101 W. Main St.,Festevents,-76.294151,36.846798
Ships Ahoy,Chris Alexander,1 Waterside Drive,Hampton Roads Shipping Association,-76.290337,36.847
Flower Garden,,236 E. Plume St.,,-76.292488,36.849594
Gran Bea,Chris Alexander,201 Boush St,Marathon Development Group,-76.290512,36.85268
Mirror Mosaic,,430 Boush St.,,-76.290993,36.852539
Oceana,,403 Boush St,,-76.290482,36.852737
Gem From the Sea,Cynthia Graf,436 Boush St,General Service Administration,-76.291298,36.847996
Full Circle,Gayle Hinkley,City Hall Ave. & Granby St.,IDA,-76.289749,36.849064
Jestacular,,Plume St. & Commercial Place,,-76.292168,36.846775
Maid in Voyage,,111 Granby St,,-76.292137,36.846859
The Jewel of Norfolk,Bess Decker,111 Granby St,"Decker, Cardon, Weintraub, and Neskis",-76.291985,36.845726
Lola,Wendy Farman,109 East Main Street,Maury High School,-76.293327,36.845306
Mei Madeline,Nancy Cockman,College Drive and College,Evergreen American Corporation,-76.29509,36.849903
Princess Azalea,Bess Decker,Tazewell St. & Brooke Ave.,"Peter Decker, Jr. & Howard Webb",-76.294357,36.847481
Flight,Ken Wright,1 Waterside Drive,Shriver & Holland Associates,-76.295563,36.851723
Gliding Through the Bay,,355 West Freemason,,-76.26635,36.95789
Mujeres del Mar,Paul Baker,9709 Hampton Blvd.,The Rosemyr Corp,-76.293587,36.85223
Blue Mirror Mermaid,,Yarmouth & Freemason,,-76.250778,36.952656
Sirena At Play In Willoughby,,9646 Granby St.,,-76.251556,36.953228
Nautical Mermaid,,9646 Granby St.,,-76.26088,36.960022
A Rising Community,,404 W. Ocean View Ave.,,-76.243034,36.948742
Mirror Mosaic,,9622 Chesapeake Blvd,,-76.233856,36.943249
Maid For the Fleet,,1330 E. Ocean View,,-76.309021,36.947659
Nora Folk,,9079 Hampton Blvd.,,-76.29232,36.855995
Jester Mermaid,,1 Memorial Pl.,,-76.287636,36.856167
Jewel the Bar Maiden,,144 East Olney Road,,-76.294785,36.883816
Lea Pard,,4300 Colley Ave.,,-76.303131,36.890614
Tiger Wood,,5200 Hampton Blvd,,-76.277672,36.876785
Sirene de Mission,,3500 Granby St,,-76.280075,36.898182
Miss Liberty,,150 Kingsley Ln.,,-76.240463,36.854759
Liquid Energy,,3550 E. Virginia Beach Blvd,,-76.241753,36.857101
A School of Fish,,1111 Ingleside Rd.,,-76.263725,36.888458
Miss NATO,,Lakewood Park,,-76.266884,36.888168
Palace Prince Beatrice,,1529 Willow Wood Dr.,,-76.288933,36.86858
Sea Shimmer,,336 W 21st St.,,-76.300262,36.872688
Moo Maid,,989 W 21st St.,,-76.284775,36.865089
Miss Virginia Vine,,1804 Monticello Ave.,,-76.28476,36.865154
Seasonal Mermaid,,1804 Monticello Ave.,,-76.199898,36.901356
Evie,,6700 Azalea Garden Rd.,,-76.252556,36.916618
Music Mosaic,,7921 Harold St.,,-76.289383,36.850147
Shamrock,,317 Monticello Ave,,-76.272659,36.913792
Ms. Literacy,Deborah T. Small,7506 Granby St.,The Virginian-Pilot,-76.289467,36.854362
Siren,,,,-76.27317,36.912941
Toga,,7400 Granby St.,,-76.283646,36.832867
Williams' School Mermaid,,Berkley Ave & Main St,,-76.296906,36.857803
MHI Mermaid,,418 Colonial Ave.,,-76.308815,36.863579
Miss Definitely Downtown,Chris Alexander,501 Claremont Ave,Downtown Norfolk Council,-76.291367,36.848019
Her Favorite Port,,City Hall Ave. & Granby St.,,-76.296829,36.838955
Aubrica,,3 Harbor Ct.,,-76.203079,36.855148
Techno Mermaid,,5901 E. Virginia Beach Blvd.,,-76.292236,36.85535
Silver Mermaid,,745 Duke St.,,-76.30143,36.872555
Mermaid de Leche,,2204 Hampton Blvd,,-76.290329,36.850315
By the Sea,,300 Granby St.,,-76.289291,36.843616
Elizabeth,,777 Waterside Dr.,,-76.232971,36.852997
Reflections of the Soul,,891 Norfolk Square,,-76.304413,36.903358
Thumbelina,,Lafayette Bridge,,-76.30455,36.868771
Ocarina,,1106 Princess Anne Rd.,,-76.074142,36.903152
Plated Mermaid,Ed Gibbs,2984 Adam Keeling Rd,Tiderwater Community College,-76.290581,36.850117
Hope,,College Drive and Granby St.,,-76.206184,36.866604
Lady of Little Creek,,1309 Kempsville Rd.,,-76.19175,36.916744
Sukey's Mermaid,,2600 Tarawa Ct.,,-76.193115,36.872814
Rainbow,,1585 Wesleyan Dr.,,-76.129883,36.832458
Accedental Tourist,,4455 South Blvd,,-76.224052,36.938911
Fresh From the Sea,,1848 East Ocean View Ave,,-76.101318,36.813457
Candy Bar/ Go Diva,Ben Teague,Chimney Hill Shopping Center,H. Blount Hunter Retail & Real Estate Research Co.,-76.288292,36.848656
Horizons,,300 Monticello Ave,,-76.095375,36.861519
She Sells Sea Shells,,3532 Kings Grant Rd,,-76.020332,37.267139
Mirror Mosaic II,,115 Mason Ave,,-76.020287,37.267136
Celebrating The Arts,,2-98 Strawberry St.,,-76.017578,37.267544
Healing Hands Mosaic,,1800 Republic Rd.,,-76.026825,36.85236
Mer-Majesty,,3121 Sandfiddler Rd,,-75.933937,36.718895
MerMax II,,4500 Virgnia Beach Blvd,,-76.13221,36.843868
Star,,8720 Granby St.,,-76.26265,36.936646
Garden Tempest,,2252 Hatton St.,,-76.059853,36.912777
Picasso's Beauty,,241 Corporate Blvd,,-76.213715,36.837528
"Norfolk, Gateway to the Sea",,3335 Military Highway,,-76.217842,36.886162
Beauty of the Sea,,863 Military Highway,,-76.210342,36.853172
Mermaid of Justice,,811 E. city Hall Ave.,,-76.286369,36.845287
